timeFrom,isWeekday,isRain,isHoliday,TotalParkings
2013-11-19,845,845,0,845
2013-11-20,850,850,0,850
2013-11-21,847,847,0,847
2013-11-22,822,822,0,822
2013-11-23,0,380,0,380
2013-11-24,0,344,0,344
2013-11-25,828,828,0,828
2013-11-26,823,823,0,823
2013-11-27,829,829,0,829
2013-11-28,871,871,0,871
2013-11-29,830,830,0,830
2013-11-30,0,319,0,319
2013-12-01,0,311,0,311
2013-12-02,738,738,0,738
2013-12-03,749,749,0,749
2013-12-04,772,772,0,772
2013-12-05,772,772,0,772
2013-12-06,737,737,0,737
2013-12-07,0,329,0,329
2013-12-08,0,313,0,313
2013-12-09,780,780,0,780
2013-12-10,792,792,0,792
2013-12-11,767,767,0,767
2013-12-12,707,98,0,707
2013-12-13,643,81,0,643
2013-12-14,0,125,0,320
2013-12-15,0,55,0,312
2013-12-16,701,323,0,701
2013-12-17,728,457,0,728
2013-12-18,706,127,0,706
2013-12-19,719,37,0,719
2013-12-20,743,517,0,743
2013-12-21,0,198,0,299
2013-12-22,0,284,0,335
2013-12-23,685,296,0,685
2013-12-24,741,0,0,741
2013-12-25,302,22,302,302
2013-12-26,722,536,0,722
2013-12-27,739,344,0,739
2013-12-28,0,109,0,327
2013-12-29,0,80,0,307
2013-12-30,705,152,0,705
2013-12-31,713,259,0,713
2014-01-01,299,81,299,299
2014-01-02,578,65,0,578
2014-01-03,612,0,0,612
2014-01-04,0,0,0,301
2014-01-05,0,0,0,311
2014-01-06,582,0,0,582
2014-01-07,578,0,0,578
2014-01-08,576,56,0,576
2014-01-09,597,245,0,597
2014-01-10,577,181,0,577
2014-01-11,0,49,0,311
2014-01-12,0,57,0,290
2014-01-13,652,652,0,652
2014-01-14,636,636,0,636
2014-01-15,723,723,0,723
2014-01-16,651,651,0,651
2014-01-17,628,628,0,628
2014-01-18,0,305,0,305
2014-01-19,0,322,0,322
2014-01-20,677,677,0,677
2014-01-21,704,704,0,704
2014-01-22,640,640,0,640
2014-01-23,671,671,0,671
2014-01-24,648,648,0,648
2014-01-25,0,328,0,328
2014-01-26,0,303,0,303
2014-01-27,641,641,0,641
2014-01-28,623,623,0,623
2014-01-29,711,711,0,711
2014-01-30,690,690,0,690
2014-01-31,663,663,0,663
2014-02-01,0,337,0,337
2014-02-02,0,328,0,328
2014-02-03,757,757,0,757
2014-02-04,798,798,0,798
2014-02-05,739,739,0,739
2014-02-06,734,734,0,734
2014-02-07,840,840,0,840
2014-02-08,0,310,0,310
2014-02-09,0,326,0,326
2014-02-10,718,718,0,718
2014-02-11,735,735,0,735
2014-02-12,641,38,0,641
2014-02-13,698,0,0,698
2014-02-14,654,0,0,654
2014-02-15,0,0,0,294
2014-02-16,0,0,0,305
2014-02-17,643,0,0,643
2014-02-18,663,0,0,663
2014-02-19,627,0,0,627
2014-02-20,678,0,0,678
2014-02-21,676,0,0,676
2014-02-22,0,0,0,321
2014-02-23,0,0,0,300
2014-02-24,690,0,0,690
2014-02-25,644,0,0,644
2014-02-26,678,0,0,678
2014-02-27,613,0,0,613
2014-02-28,691,0,0,691
2014-03-01,0,0,0,331
2014-03-02,0,0,0,317
2014-03-03,851,0,0,851
2014-03-04,872,0,0,872
2014-03-05,829,0,0,829
2014-03-06,807,0,0,807
2014-03-07,833,0,0,833
2014-03-08,0,0,0,325
2014-03-09,0,0,0,325
2014-03-10,840,0,0,840
2014-03-11,806,0,0,806
2014-03-12,806,0,0,806
2014-03-13,879,0,0,879
2014-03-14,807,0,0,807
2014-03-15,0,0,0,342
2014-03-16,0,0,0,347
2014-03-17,838,0,0,838
2014-03-18,830,0,0,830
2014-03-19,819,0,0,819
2014-03-20,782,0,0,782
2014-03-21,817,0,0,817
2014-03-22,0,0,0,336
2014-03-23,0,0,0,330
2014-03-24,840,0,0,840
2014-03-25,796,0,0,796
2014-03-26,811,0,0,811
2014-03-27,833,0,0,833
2014-03-28,850,0,0,850
2014-03-29,0,0,0,345
2014-03-30,0,0,0,332
2014-03-31,812,0,0,812
2014-04-01,800,0,0,800
2014-04-02,833,0,0,833
2014-04-03,872,0,0,872
2014-04-04,767,0,0,767
2014-04-05,0,0,0,342
2014-04-06,0,0,0,320
2014-04-07,818,0,0,818
2014-04-08,763,0,0,763
2014-04-09,768,0,0,768
2014-04-10,387,0,387,387
2014-04-11,762,0,0,762
2014-04-12,0,0,299,299
2014-04-13,0,343,0,343
2014-04-14,862,862,0,862
2014-04-15,862,862,0,862
2014-04-16,830,830,0,830
2014-04-17,837,837,0,837
2014-04-18,861,861,0,861
2014-04-19,0,353,0,353
2014-04-20,0,352,0,352
2014-04-21,468,468,468,468
2014-04-22,813,813,0,813
2014-04-23,868,868,0,868
2014-04-24,866,866,0,866
2014-04-25,835,835,0,835
2014-04-26,0,359,0,359
2014-04-27,0,361,0,361
2014-04-28,823,823,0,823
2014-04-29,870,870,0,870
2014-04-30,838,838,0,838
2014-05-01,459,459,459,459
2014-05-02,851,851,0,851
2014-05-03,0,340,0,340
2014-05-04,0,360,0,360
2014-05-05,803,803,0,803
2014-05-06,834,834,0,834
2014-05-07,892,892,0,892
2014-05-08,816,816,0,816
2014-05-09,866,866,0,866
2014-05-10,0,343,0,343
2014-05-11,0,339,0,339
2014-05-12,811,138,0,811
2014-05-13,769,0,0,769
2014-05-14,799,0,0,799
2014-05-15,776,0,0,776
2014-05-16,780,0,0,780
2014-05-17,0,0,0,337
2014-05-18,0,0,0,308
2014-05-19,792,0,0,792
2014-05-20,737,0,0,737
2014-05-21,823,0,0,823
2014-05-22,743,0,0,743
2014-05-23,776,0,0,776
2014-05-24,0,0,0,329
2014-05-25,0,0,0,328
2014-05-26,782,0,0,782
2014-05-27,788,0,0,788
2014-05-28,773,0,0,773
2014-05-29,800,0,0,800
2014-05-30,793,0,0,793
2014-05-31,0,0,0,338
2014-06-01,0,0,0,322
2014-06-02,747,0,0,747
2014-06-03,770,0,0,770
2014-06-04,787,0,0,787
2014-06-05,816,0,0,816
2014-06-06,792,0,0,792
2014-06-07,0,0,0,296
2014-06-08,0,0,0,357
2014-06-09,812,0,0,812
2014-06-10,812,0,0,812
2014-06-11,412,0,412,412
2014-06-12,841,532,0,841
2014-06-13,801,0,0,801
2014-06-14,0,0,0,340
2014-06-15,0,0,0,315
2014-06-16,825,0,0,825
2014-06-17,762,0,0,762
2014-06-18,747,0,0,747
2014-06-19,790,0,0,790
2014-06-20,812,0,0,812
2014-06-21,0,0,0,334
2014-06-22,0,0,0,311
2014-06-23,782,0,0,782
2014-06-24,763,0,0,763
2014-06-25,798,0,0,798
2014-06-26,724,0,0,724
2014-06-27,793,0,0,793
2014-06-28,0,0,0,321
2014-06-29,0,0,0,308
2014-06-30,749,0,0,749
2014-07-01,735,0,0,735
2014-07-02,732,0,0,732
2014-07-03,759,0,0,759
2014-07-04,737,0,0,737
2014-07-05,0,0,0,329
2014-07-06,0,0,0,322
2014-07-07,731,0,0,731
2014-07-08,755,0,0,755
2014-07-09,764,0,0,764
2014-07-10,757,0,0,757
2014-07-11,717,0,0,717
2014-07-12,0,55,0,309
2014-07-13,0,0,0,309
2014-07-14,728,0,0,728
2014-07-15,745,0,0,745
2014-07-16,751,0,0,751
2014-07-17,704,0,0,704
2014-07-18,752,0,0,752
2014-07-19,0,0,0,320
2014-07-20,0,0,0,336
2014-07-21,763,0,0,763
2014-07-22,727,0,0,727
2014-07-23,735,0,0,735
2014-07-24,725,0,0,725
2014-07-25,763,0,0,763
2014-07-26,0,0,0,319
2014-07-27,0,0,0,323
2014-07-28,805,0,0,805
2014-07-29,765,0,0,765
2014-07-30,744,0,0,744
2014-07-31,706,0,0,706
2014-08-01,573,0,0,573
2014-08-02,0,0,0,321
2014-08-03,0,0,0,297
2014-08-04,528,0,0,528
2014-08-05,531,0,0,531
2014-08-06,555,0,0,555
2014-08-07,553,0,0,553
2014-08-08,551,0,0,551
2014-08-09,0,0,0,313
2014-08-10,0,0,0,292
2014-08-11,543,0,0,543
2014-08-12,600,513,0,600
2014-08-13,646,646,0,646
2014-08-14,692,692,0,692
2014-08-15,618,618,0,618
2014-08-16,0,309,0,309
2014-08-17,0,305,0,305
2014-08-18,672,672,0,672
2014-08-19,646,646,0,646
2014-08-20,652,652,0,652
2014-08-21,653,653,0,653
2014-08-22,673,673,0,673
2014-08-23,0,300,0,300
2014-08-24,0,306,0,306
2014-08-25,621,621,0,621
2014-08-26,562,562,0,562
2014-08-27,595,595,0,595
2014-08-28,624,624,0,624
2014-08-29,583,583,0,583
2014-08-30,0,304,0,304
2014-08-31,0,311,0,311
2014-09-01,858,858,0,858
2014-09-02,866,866,0,866
2014-09-03,908,908,0,908
2014-09-04,928,928,0,928
2014-09-05,859,859,0,859
2014-09-06,0,346,0,346
2014-09-07,0,299,299,299
2014-09-08,870,870,0,870
2014-09-09,871,871,0,871
2014-09-10,831,831,0,831
2014-09-11,902,902,0,902
2014-09-12,898,686,0,898
2014-09-13,0,0,0,329
2014-09-14,0,0,0,352
2014-09-15,523,0,523,523
2014-09-16,776,0,0,776
2014-09-17,792,0,0,792
2014-09-18,810,0,0,810
2014-09-19,863,0,0,863
2014-09-20,0,0,0,325
2014-09-21,0,0,0,329
2014-09-22,811,0,0,811
2014-09-23,828,0,0,828
2014-09-24,768,0,0,768
2014-09-25,772,0,0,772
2014-09-26,857,0,0,857
2014-09-27,0,0,0,318
2014-09-28,0,0,0,346
2014-09-29,852,0,0,852
2014-09-30,880,0,0,880
2014-10-01,799,0,0,799
2014-10-02,781,0,0,781
2014-10-03,741,0,0,741
2014-10-04,0,0,0,313
2014-10-05,0,0,0,303
2014-10-06,759,0,0,759
2014-10-07,818,0,0,818
2014-10-08,772,0,0,772
2014-10-09,772,0,0,772
2014-10-10,785,0,0,785
2014-10-11,0,0,0,318
2014-10-12,0,121,314,314
2014-10-13,812,812,0,812
2014-10-14,847,847,0,847
2014-10-15,898,898,0,898
2014-10-16,873,873,0,873
2014-10-17,876,876,0,876
2014-10-18,0,358,0,358
2014-10-19,0,373,0,373
2014-10-20,815,815,0,815
2014-10-21,820,820,0,820
2014-10-22,826,826,0,826
2014-10-23,869,869,0,869
2014-10-24,828,828,0,828
2014-10-25,0,337,0,337
2014-10-26,0,339,0,339
2014-10-27,809,809,0,809
2014-10-28,467,467,467,467
2014-10-29,839,839,0,839
2014-10-30,766,766,0,766
2014-10-31,819,819,0,819
2014-11-01,0,370,0,370
2014-11-02,0,297,297,297
2014-11-03,875,875,0,875
2014-11-04,838,838,0,838
2014-11-05,846,846,0,846
2014-11-06,800,800,0,800
2014-11-07,843,843,0,843
2014-11-08,0,331,0,331
2014-11-09,0,347,0,347
2014-11-10,830,830,0,830
2014-11-11,833,833,0,833
2014-11-12,848,486,0,848
2014-11-13,769,0,0,769
2014-11-14,787,0,0,787
2014-11-15,0,0,291,291
2014-11-16,0,0,0,318
2014-11-17,788,0,0,788
2014-11-18,755,0,0,755
2014-11-19,737,0,0,737
2014-11-20,766,0,0,766
2014-11-21,792,0,0,792
2014-11-22,0,0,0,301
2014-11-23,0,0,0,308
2014-11-24,753,0,0,753
2014-11-25,851,0,0,851
2014-11-26,762,0,0,762
2014-11-27,814,0,0,814
2014-11-28,794,0,0,794
2014-11-29,0,0,0,315
2014-11-30,0,0,0,306
2014-12-01,722,0,0,722
2014-12-02,684,0,0,684
2014-12-03,736,0,0,736
2014-12-04,710,0,0,710
2014-12-05,720,0,0,720
2014-12-06,0,0,0,320
2014-12-07,0,0,0,316
2014-12-08,703,0,0,703
2014-12-09,748,0,0,748
2014-12-10,773,0,0,773
2014-12-11,732,0,0,732
2014-12-12,720,296,0,720
2014-12-13,0,215,0,316
2014-12-14,0,64,0,323
2014-12-15,685,0,0,685
2014-12-16,717,238,0,717
2014-12-17,764,227,0,764
2014-12-18,771,354,0,771
2014-12-19,774,278,0,774
2014-12-20,0,226,0,348
2014-12-21,0,106,0,311
2014-12-22,771,290,0,771
2014-12-23,745,322,0,745
2014-12-24,776,390,0,776
2014-12-25,290,18,290,290
2014-12-26,749,23,0,749
2014-12-27,0,318,0,336
2014-12-28,0,0,0,339
2014-12-29,684,0,0,684
2014-12-30,720,0,0,720
2014-12-31,695,0,0,695
2015-01-01,300,0,300,300
2015-01-02,729,729,0,729
2015-01-03,0,0,0,300
2015-01-04,0,325,0,325
2015-01-05,652,376,0,652
2015-01-06,630,57,0,630
2015-01-07,621,91,0,621
2015-01-08,635,193,0,635
2015-01-09,629,471,0,629
2015-01-10,0,44,0,309
2015-01-11,0,174,0,337
2015-01-12,658,271,0,658
2015-01-13,711,711,0,711
2015-01-14,705,705,0,705
2015-01-15,712,712,0,712
2015-01-16,734,734,0,734
2015-01-17,0,297,0,297
2015-01-18,0,301,0,301
2015-01-19,703,703,0,703
2015-01-20,726,726,0,726
2015-01-21,720,720,0,720
2015-01-22,662,662,0,662
2015-01-23,709,709,0,709
2015-01-24,0,315,0,315
2015-01-25,0,308,0,308
2015-01-26,668,668,0,668
2015-01-27,700,700,0,700
2015-01-28,653,653,0,653
2015-01-29,693,693,0,693
2015-01-30,717,717,0,717
2015-01-31,0,317,0,317
2015-02-01,0,312,0,312
2015-02-02,799,799,0,799
2015-02-03,771,771,0,771
2015-02-04,750,750,0,750
2015-02-05,762,762,0,762
2015-02-06,773,773,0,773
2015-02-07,0,318,0,318
2015-02-08,0,327,0,327
2015-02-09,767,767,0,767
2015-02-10,737,737,0,737
2015-02-11,769,769,0,769
2015-02-12,769,590,0,769
2015-02-13,693,0,0,693
2015-02-14,0,0,0,312
2015-02-15,0,0,0,295
2015-02-16,702,0,0,702
2015-02-17,702,0,0,702
2015-02-18,690,0,0,690
2015-02-19,717,0,0,717
2015-02-20,668,0,0,668
2015-02-21,0,0,0,296
2015-02-22,0,0,0,320
2015-02-23,700,0,0,700
2015-02-24,677,0,0,677
2015-02-25,698,0,0,698
2015-02-26,659,0,0,659
2015-02-27,691,0,0,691
2015-02-28,0,0,0,306
2015-03-01,0,0,0,320
2015-03-02,864,0,0,864
2015-03-03,830,0,0,830
2015-03-04,823,0,0,823
2015-03-05,815,0,0,815
2015-03-06,843,0,0,843
2015-03-07,0,0,0,325
2015-03-08,0,0,0,328
2015-03-09,875,0,0,875
2015-03-10,841,0,0,841
2015-03-11,828,0,0,828
2015-03-12,868,619,0,868
2015-03-13,868,0,0,868
2015-03-14,0,0,0,329
2015-03-15,0,0,0,346
2015-03-16,808,0,0,808
2015-03-17,788,0,0,788
2015-03-18,801,0,0,801
2015-03-19,801,0,0,801
2015-03-20,821,0,0,821
2015-03-21,0,0,0,318
2015-03-22,0,0,0,329
2015-03-23,817,0,0,817
2015-03-24,860,0,0,860
2015-03-25,896,0,0,896
2015-03-26,868,0,0,868
2015-03-27,803,0,0,803
2015-03-28,0,0,0,344
2015-03-29,0,0,0,330
2015-03-30,809,0,0,809
2015-03-31,838,0,0,838
2015-04-01,834,0,0,834
2015-04-02,759,0,0,759
2015-04-03,798,0,0,798
2015-04-04,0,0,0,321
2015-04-05,0,0,0,320
2015-04-06,862,0,0,862
2015-04-07,791,0,0,791
2015-04-08,824,0,0,824
2015-04-09,804,0,0,804
2015-04-10,381,0,381,381
2015-04-11,0,0,0,329
2015-04-12,0,117,284,284
2015-04-13,867,867,0,867
2015-04-14,905,905,0,905
2015-04-15,874,874,0,874
2015-04-16,919,919,0,919
2015-04-17,873,873,0,873
2015-04-18,0,338,0,338
2015-04-19,0,345,0,345
2015-04-20,819,819,0,819
2015-04-21,461,461,461,461
2015-04-22,887,887,0,887
2015-04-23,835,835,0,835
2015-04-24,875,875,0,875
2015-04-25,0,349,0,349
2015-04-26,0,362,0,362
2015-04-27,878,878,0,878
2015-04-28,918,918,0,918
2015-04-29,842,842,0,842
2015-04-30,883,883,0,883
2015-05-01,488,488,488,488
2015-05-02,0,355,0,355
2015-05-03,0,391,0,391
2015-05-04,873,873,0,873
2015-05-05,879,879,0,879
2015-05-06,877,877,0,877
2015-05-07,874,874,0,874
2015-05-08,885,885,0,885
2015-05-09,0,348,0,348
2015-05-10,0,362,0,362
2015-05-11,852,852,0,852
2015-05-12,855,458,0,855
2015-05-13,817,0,0,817
2015-05-14,807,0,0,807
2015-05-15,770,0,0,770
2015-05-16,0,0,0,333
2015-05-17,0,0,0,338
2015-05-18,803,0,0,803
2015-05-19,824,0,0,824
2015-05-20,794,0,0,794
2015-05-21,789,0,0,789
2015-05-22,835,0,0,835
2015-05-23,0,0,0,320
2015-05-24,0,0,0,320
2015-05-25,803,0,0,803
2015-05-26,864,0,0,864
2015-05-27,797,0,0,797
2015-05-28,728,0,0,728
2015-05-29,816,0,0,816
2015-05-30,0,0,0,303
2015-05-31,0,0,0,308
2015-06-01,800,0,0,800
2015-06-02,803,0,0,803
2015-06-03,868,0,0,868
2015-06-04,809,0,0,809
2015-06-05,803,0,0,803
2015-06-06,0,0,0,338
2015-06-07,0,0,0,313
2015-06-08,762,0,0,762
2015-06-09,799,0,0,799
2015-06-10,798,0,0,798
2015-06-11,391,0,391,391
2015-06-12,768,400,0,768
2015-06-13,0,322,0,322
2015-06-14,0,354,0,354
2015-06-15,887,887,0,887
2015-06-16,862,862,0,862
2015-06-17,888,888,0,888
2015-06-18,808,808,0,808
2015-06-19,901,901,0,901
2015-06-20,0,370,0,370
2015-06-21,0,337,0,337
2015-06-22,895,895,0,895
2015-06-23,873,873,0,873
2015-06-24,857,857,0,857
2015-06-25,888,888,0,888
2015-06-26,866,866,0,866
2015-06-27,0,367,0,367
2015-06-28,0,348,0,348
2015-06-29,904,904,0,904
2015-06-30,869,869,0,869
2015-07-01,891,891,0,891
2015-07-02,773,773,0,773
2015-07-03,822,822,0,822
2015-07-04,0,345,0,345
2015-07-05,0,324,0,324
2015-07-06,849,849,0,849
2015-07-07,853,853,0,853
2015-07-08,809,809,0,809
2015-07-09,801,801,0,801
2015-07-10,867,867,0,867
2015-07-11,0,333,0,333
2015-07-12,0,221,0,317
2015-07-13,793,793,0,793
2015-07-14,808,808,0,808
2015-07-15,863,863,0,863
2015-07-16,822,822,0,822
2015-07-17,791,791,0,791
2015-07-18,0,323,0,323
